comment,label
"Sản phẩm rất tốt, tôi hài lòng",1
"Dịch vụ quá tệ, tôi thất vọng",0
"Sản phẩm rất tốt, tôi hài lòng",1
"Dịch vụ quá tệ, tôi thất vọng",0
"Sản phẩm rất tốt, tôi hài lòng",1
"Dịch vụ quá tệ, tôi thất vọng",0
"Sản phẩm rất tốt, tôi hài lòng",1
"Dịch vụ quá tệ, tôi thất vọng",0
"Sản phẩm rất tốt, tôi hài lòng",1
"Dịch vụ quá tệ, tôi thất vọng",0
"Sản phẩm rất tốt, tôi hài lòng",1
"Dịch vụ quá tệ, tôi thất vọng",0
"Sản phẩm rất tốt, tôi hài lòng",1
"Dịch vụ quá tệ, tôi thất vọng",0
"Sản phẩm rất tốt, tôi hài lòng",1
"Dịch vụ quá tệ, tôi thất vọng",0
"Sản phẩm rất tốt, tôi hài lòng",1
"Dịch vụ quá tệ, tôi thất vọng",0
"Sản phẩm rất tốt, tôi hài lòng",1
"Dịch vụ quá tệ, tôi thất vọng",0
"Sản phẩm rất tốt, tôi hài lòng",1
"Dịch vụ quá tệ, tôi thất vọng",0
"Sản phẩm rất tốt, tôi hài lòng",1
"Dịch vụ quá tệ, tôi thất vọng",0
"Sản phẩm rất tốt, tôi hài lòng",1
"Dịch vụ quá tệ, tôi thất vọng",0
"Sản phẩm rất tốt, tôi hài lòng",1
"Dịch vụ quá tệ, tôi thất vọng",0
"Sản phẩm rất tốt, tôi hài lòng",1
"Dịch vụ quá tệ, tôi thất vọng",0
"Sản phẩm rất tốt, tôi hài lòng",1
"Dịch vụ quá tệ, tôi thất vọng",0
"Sản phẩm rất tốt, tôi hài lòng",1
"Dịch vụ quá tệ, tôi thất vọng",0
"Sản phẩm rất tốt, tôi hài lòng",1
"Dịch vụ quá tệ, tôi thất vọng",0
"Sản phẩm rất tốt, tôi hài lòng",1
"Dịch vụ quá tệ, tôi thất vọng",0
"Sản phẩm rất tốt, tôi hài lòng",1
"Dịch vụ quá tệ, tôi thất vọng",0
"Sản phẩm rất tốt, tôi hài lòng",1
"Dịch vụ quá tệ, tôi thất vọng",0
"Sản phẩm rất tốt, tôi hài lòng",1
"Dịch vụ quá tệ, tôi thất vọng",0
"Sản phẩm rất tốt, tôi hài lòng",1
"Dịch vụ quá tệ, tôi thất vọng",0
"Sản phẩm rất tốt, tôi hài lòng",1
"Dịch vụ quá tệ, tôi thất vọng",0
"Sản phẩm rất tốt, tôi hài lòng",1
"Dịch vụ quá tệ, tôi thất vọng",0
"Sản phẩm rất tốt, tôi hài lòng",1
"Dịch vụ quá tệ, tôi thất vọng",0
"Sản phẩm rất tốt, tôi hài lòng",1
"Dịch vụ quá tệ, tôi thất vọng",0
"Sản phẩm rất tốt, tôi hài lòng",1
"Dịch vụ quá tệ, tôi thất vọng",0
"Sản phẩm rất tốt, tôi hài lòng",1
"Dịch vụ quá tệ, tôi thất vọng",0
"Sản phẩm rất tốt, tôi hài lòng",1
"Dịch vụ quá tệ, tôi thất vọng",0
"Sản phẩm rất tốt, tôi hài lòng",1
"Dịch vụ quá tệ, tôi thất vọng",0
"Sản phẩm rất tốt, tôi hài lòng",1
"Dịch vụ quá tệ, tôi thất vọng",0
"Sản phẩm rất tốt, tôi hài lòng",1
"Dịch vụ quá tệ, tôi thất vọng",0
"Sản phẩm rất tốt, tôi hài lòng",1
"Dịch vụ quá tệ, tôi thất vọng",0
"Sản phẩm rất tốt, tôi hài lòng",1
"Dịch vụ quá tệ, tôi thất vọng",0
"Sản phẩm rất tốt, tôi hài lòng",1
"Dịch vụ quá tệ, tôi thất vọng",0
"Sản phẩm rất tốt, tôi hài lòng",1
"Dịch vụ quá tệ, tôi thất vọng",0
"Sản phẩm rất tốt, tôi hài lòng",1
"Dịch vụ quá tệ, tôi thất vọng",0
"Sản phẩm rất tốt, tôi hài lòng",1
"Dịch vụ quá tệ, tôi thất vọng",0
"Sản phẩm rất tốt, tôi hài lòng",1
"Dịch vụ quá tệ, tôi thất vọng",0
"Sản phẩm rất tốt, tôi hài lòng",1
"Dịch vụ quá tệ, tôi thất vọng",0
"Sản phẩm rất tốt, tôi hài lòng",1
"Dịch vụ quá tệ, tôi thất vọng",0
"Sản phẩm rất tốt, tôi hài lòng",1
"Dịch vụ quá tệ, tôi thất vọng",0
"Sản phẩm rất tốt, tôi hài lòng",1
"Dịch vụ quá tệ, tôi thất vọng",0
"Sản phẩm rất tốt, tôi hài lòng",1
"Dịch vụ quá tệ, tôi thất vọng",0
"Sản phẩm rất tốt, tôi hài lòng",1
"Dịch vụ quá tệ, tôi thất vọng",0
"Sản phẩm rất tốt, tôi hài lòng",1
"Dịch vụ quá tệ, tôi thất vọng",0
"Sản phẩm rất tốt, tôi hài lòng",1
"Dịch vụ quá tệ, tôi thất vọng",0
"Sản phẩm rất tốt, tôi hài lòng",1
"Dịch vụ quá tệ, tôi thất vọng",0
"Sản phẩm rất tốt, tôi hài lòng",1
"Dịch vụ quá tệ, tôi thất vọng",0
"Sản phẩm rất tốt, tôi hài lòng",1
"Dịch vụ quá tệ, tôi thất vọng",0
"Sản phẩm rất tốt, tôi hài lòng",1
"Dịch vụ quá tệ, tôi thất vọng",0
"Sản phẩm rất tốt, tôi hài lòng",1
"Dịch vụ quá tệ, tôi thất vọng",0
"Sản phẩm rất tốt, tôi hài lòng",1
"Dịch vụ quá tệ, tôi thất vọng",0
"Sản phẩm rất tốt, tôi hài lòng",1
"Dịch vụ quá tệ, tôi thất vọng",0
"Sản phẩm rất tốt, tôi hài lòng",1
"Dịch vụ quá tệ, tôi thất vọng",0
"Sản phẩm rất tốt, tôi hài lòng",1
"Dịch vụ quá tệ, tôi thất vọng",0
"Sản phẩm rất tốt, tôi hài lòng",1
"Dịch vụ quá tệ, tôi thất vọng",0
"Sản phẩm rất tốt, tôi hài lòng",1
"Dịch vụ quá tệ, tôi thất vọng",0
"Sản phẩm rất tốt, tôi hài lòng",1
"Dịch vụ quá tệ, tôi thất vọng",0
"Sản phẩm rất tốt, tôi hài lòng",1
"Dịch vụ quá tệ, tôi thất vọng",0
"Sản phẩm rất tốt, tôi hài lòng",1
"Dịch vụ quá tệ, tôi thất vọng",0
"Sản phẩm rất tốt, tôi hài lòng",1
"Dịch vụ quá tệ, tôi thất vọng",0
"Sản phẩm rất tốt, tôi hài lòng",1
"Dịch vụ quá tệ, tôi thất vọng",0
"Sản phẩm rất tốt, tôi hài lòng",1
"Dịch vụ quá tệ, tôi thất vọng",0
"Sản phẩm rất tốt, tôi hài lòng",1
"Dịch vụ quá tệ, tôi thất vọng",0
"Sản phẩm rất tốt, tôi hài lòng",1
"Dịch vụ quá tệ, tôi thất vọng",0
"Sản phẩm rất tốt, tôi hài lòng",1
"Dịch vụ quá tệ, tôi thất vọng",0
"Sản phẩm rất tốt, tôi hài lòng",1
"Dịch vụ quá tệ, tôi thất vọng",0
"Sản phẩm rất tốt, tôi hài lòng",1
"Dịch vụ quá tệ, tôi thất vọng",0
"Sản phẩm rất tốt, tôi hài lòng",1
"Dịch vụ quá tệ, tôi thất vọng",0
"Sản phẩm rất tốt, tôi hài lòng",1
"Dịch vụ quá tệ, tôi thất vọng",0
"Sản phẩm rất tốt, tôi hài lòng",1
"Dịch vụ quá tệ, tôi thất vọng",0
"Sản phẩm rất tốt, tôi hài lòng",1
"Dịch vụ quá tệ, tôi thất vọng",0
"Sản phẩm rất tốt, tôi hài lòng",1
"Dịch vụ quá tệ, tôi thất vọng",0
"Sản phẩm rất tốt, tôi hài lòng",1
"Dịch vụ quá tệ, tôi thất vọng",0
"Sản phẩm rất tốt, tôi hài lòng",1
"Dịch vụ quá tệ, tôi thất vọng",0
"Sản phẩm rất tốt, tôi hài lòng",1
"Dịch vụ quá tệ, tôi thất vọng",0
"Sản phẩm rất tốt, tôi hài lòng",1
"Dịch vụ quá tệ, tôi thất vọng",0
"Sản phẩm rất tốt, tôi hài lòng",1
"Dịch vụ quá tệ, tôi thất vọng",0
"Sản phẩm rất tốt, tôi hài lòng",1
"Dịch vụ quá tệ, tôi thất vọng",0
"Sản phẩm rất tốt, tôi hài lòng",1
"Dịch vụ quá tệ, tôi thất vọng",0
"Sản phẩm rất tốt, tôi hài lòng",1
"Dịch vụ quá tệ, tôi thất vọng",0
"Sản phẩm rất tốt, tôi hài lòng",1
"Dịch vụ quá tệ, tôi thất vọng",0
"Sản phẩm rất tốt, tôi hài lòng",1
"Dịch vụ quá tệ, tôi thất vọng",0
"Sản phẩm rất tốt, tôi hài lòng",1
"Dịch vụ quá tệ, tôi thất vọng",0
"Sản phẩm rất tốt, tôi hài lòng",1
"Dịch vụ quá tệ, tôi thất vọng",0
"Sản phẩm rất tốt, tôi hài lòng",1
"Dịch vụ quá tệ, tôi thất vọng",0
"Sản phẩm rất tốt, tôi hài lòng",1
"Dịch vụ quá tệ, tôi thất vọng",0
"Sản phẩm rất tốt, tôi hài lòng",1
"Dịch vụ quá tệ, tôi thất vọng",0
"Sản phẩm rất tốt, tôi hài lòng",1
"Dịch vụ quá tệ, tôi thất vọng",0
"Sản phẩm rất tốt, tôi hài lòng",1
"Dịch vụ quá tệ, tôi thất vọng",0
"Sản phẩm rất tốt, tôi hài lòng",1
"Dịch vụ quá tệ, tôi thất vọng",0
"Sản phẩm rất tốt, tôi hài lòng",1
"Dịch vụ quá tệ, tôi thất vọng",0
"Sản phẩm rất tốt, tôi hài lòng",1
"Dịch vụ quá tệ, tôi thất vọng",0
"Sản phẩm rất tốt, tôi hài lòng",1
"Dịch vụ quá tệ, tôi thất vọng",0
"Sản phẩm rất tốt, tôi hài lòng",1
"Dịch vụ quá tệ, tôi thất vọng",0
"Sản phẩm rất tốt, tôi hài lòng",1
"Dịch vụ quá tệ, tôi thất vọng",0
"Sản phẩm rất tốt, tôi hài lòng",1
"Dịch vụ quá tệ, tôi thất vọng",0
"Sản phẩm rất tốt, tôi hài lòng",1
"Dịch vụ quá tệ, tôi thất vọng",0
"Sản phẩm rất tốt, tôi hài lòng",1
"Dịch vụ quá tệ, tôi thất vọng",0
"Sản phẩm rất tốt, tôi hài lòng",1
"Dịch vụ quá tệ, tôi thất vọng",0
"Sản phẩm rất tốt, tôi hài lòng",1
"Dịch vụ quá tệ, tôi thất vọng",0
"Sản phẩm rất tốt, tôi hài lòng",1
"Dịch vụ quá tệ, tôi thất vọng",0
"Sản phẩm rất tốt, tôi hài lòng",1
"Dịch vụ quá tệ, tôi thất vọng",0
"Sản phẩm rất tốt, tôi hài lòng",1
"Dịch vụ quá tệ, tôi thất vọng",0
"Sản phẩm rất tốt, tôi hài lòng",1
"Dịch vụ quá tệ, tôi thất vọng",0
"Sản phẩm rất tốt, tôi hài lòng",1
"Dịch vụ quá tệ, tôi thất vọng",0
"Sản phẩm rất tốt, tôi hài lòng",1
"Dịch vụ quá tệ, tôi thất vọng",0
"Sản phẩm rất tốt, tôi hài lòng",1
"Dịch vụ quá tệ, tôi thất vọng",0
"Sản phẩm rất tốt, tôi hài lòng",1
"Dịch vụ quá tệ, tôi thất vọng",0
"Sản phẩm rất tốt, tôi hài lòng",1
"Dịch vụ quá tệ, tôi thất vọng",0
"Sản phẩm rất tốt, tôi hài lòng",1
"Dịch vụ quá tệ, tôi thất vọng",0
"Sản phẩm rất tốt, tôi hài lòng",1
"Dịch vụ quá tệ, tôi thất vọng",0
"Sản phẩm rất tốt, tôi hài lòng",1
"Dịch vụ quá tệ, tôi thất vọng",0
"Sản phẩm rất tốt, tôi hài lòng",1
"Dịch vụ quá tệ, tôi thất vọng",0
"Sản phẩm rất tốt, tôi hài lòng",1
"Dịch vụ quá tệ, tôi thất vọng",0
"Sản phẩm rất tốt, tôi hài lòng",1
"Dịch vụ quá tệ, tôi thất vọng",0
"Sản phẩm rất tốt, tôi hài lòng",1
"Dịch vụ quá tệ, tôi thất vọng",0
"Sản phẩm rất tốt, tôi hài lòng",1
"Dịch vụ quá tệ, tôi thất vọng",0
